country_long,,estimated_generation_gwh
Kuwait,12800,3137.310923426583
Kuwait,12799,1428.6299840062854
Kuwait,12797,1357.075114341031
Kuwait,12802,1079.49156822582
Kuwait,12803,888.2673475686747
Kuwait,12804,310.8935716490362
Kyrgyzstan,12811,5483.711340206185
Kyrgyzstan,12807,3655.807560137457
Kyrgyzstan,12810,2056.3917525773195
Kyrgyzstan,12809,1096.7422680412371
Kyrgyzstan,12806,1073.0
Kyrgyzstan,12812,822.5567010309279
Kyrgyzstan,12805,182.79037800687286
Kyrgyzstan,12808,84.0
Latvia,12817,2014.816183816184
Latvia,12814,1160.5703125
Latvia,12816,521.8671875
Latvia,12815,322.1838161838162
Latvia,12813,311.5625
Lebanon,12824,10099.518004069716
Lebanon,12821,5459.83588427851
Lebanon,12820,1099.823055825887
Lebanon,12818,549.9115279129435
Lebanon,12822,549.9115279129435
Lebanon,12819,0.0
Lebanon,12823,0.0
Libya,12834,10259.57142857143
Libya,12826,4931.926977687625
Libya,12827,3604.7142857142853
Libya,12833,3604.7142857142853
Libya,12831,3561.947261663286
Libya,12825,3424.949290060852
Libya,12835,2137.1683569979714
Libya,12830,1712.474645030426
Libya,12828,1643.975659229209
Libya,12829,1198.7322515212982
Lithuania,12837,1264.3373493975905
Lithuania,12840,978.4172661870504
Lithuania,12842,252.8674698795181
Lithuania,12838,119.40963855421688
Lithuania,12841,112.38554216867468
Lithuania,12839,109.58273381294964
Malaysia,12862,17945.006151953246
Malaysia,12884,13926.698554290986
Malaysia,12855,13404.585146286572
Malaysia,12889,9015.433712703783
Malaysia,12876,7217.427456864216
Malaysia,12881,6868.90187634574
Malaysia,12867,6292.40030007502
Malaysia,12854,6010.289141802523
Malaysia,12883,5932.359789947486
Malaysia,12846,4586.362190547637
Mexico,13090,17502.411572214787
Mexico,13041,9677.0
Mexico,12925,8819.239922653578
Mexico,13119,7602.062381690566
Mexico,13031,7559.348505131638
Mexico,12900,7508.292449229186
Mexico,13052,7501.723874659445
Mexico,12899,6938.975002142228
Mexico,13133,6583.988829252712
Mexico,12893,6015.465528014996
Moldova,13145,3640.0
Moldova,13144,1001.0
Moldova,13146,364.0
Moldova,13148,237.75
Moldova,13147,79.25
Moldova,13149,0.0
Mongolia,13153,3519.2537313432845
Mongolia,13152,1222.4776119402984
Mongolia,13150,222.26865671641792
Mongolia,13151,170.0
Montenegro,13156,1422.0
Montenegro,13155,945.6071964017993
Montenegro,13154,806.3928035982009
Morocco,13171,11270.673721340389
Morocco,13183,2873.463844797178
Morocco,13162,2689.0756302521013
Morocco,13188,1673.8624338624338
Morocco,13160,1586.5546218487393
Morocco,13166,1453.87881126978
Morocco,13174,1324.3697478991596
Morocco,13172,959.5600154380548
Morocco,13173,673.6305158883314
Morocco,13167,566.5281101247908
Mozambique,13200,14688.457330415757
Mozambique,13202,1175.0765864332604
Mozambique,13201,311.4660831509848
Myanmar,13231,2559.4121532364597
Myanmar,13225,1943.8573315719946
Myanmar,13219,1093.4282166396026
Myanmar,13220,907.1334214002644
